amfi_code,cagr_3yr,sharpe_ratio,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,dd_rank,fund_score
119552,0.16267372294624916,0.9532794968660103,0.22064554812079182,-4.921085537668275e-09,-0.11803493502764295,0.45,0.725,0.725,0.275,48.875
119598,0.2666992200118774,0.9453082575156093,0.2901132761011054,2.7114094248789046e-09,-0.2870600572176455,0.725,0.675,0.975,0.9,67.125
119599,-0.01337386614488112,-0.05718662582817997,0.04941664628655061,2.8431678870476444e-10,-0.5257422117012851,0.075,0.225,0.125,1.0,20.375
120503,0.13978381933703043,0.7979728586052847,0.19672553295929862,-4.524854003814536e-09,-0.13897862823061635,0.4,0.6,0.675,0.35,44.0
120504,0.3248742855621496,1.0265242847993004,0.2088783587471849,7.715995719266856e-10,-0.12588275606922517,0.95,0.775,0.7,0.3,64.875
120505,0.317775371512347,1.1801011976606497,0.30479051421356784,-2.6238802924101666e-09,-0.18188513572116294,0.9,0.9,1.0,0.625,75.75
120506,0.1842199653744454,0.6488787755249533,0.14104708181308517,4.92456415289323e-09,-0.1982565826298267,0.525,0.525,0.475,0.675,45.125
120507,0.07394286300360076,0.4957233929533124,0.06712171462976929,7.06297799141754e-11,-0.0009773140045925555,0.3,0.45,0.275,0.025,26.0
120841,0.1726727508371786,0.49427253786723496,0.11868045257986366,2.7816019265565444e-09,-0.1757361416468729,0.475,0.425,0.375,0.6,38.375
120842,0.07756003551327284,0.07599984804658916,0.0632313614380746,3.3222980058777297e-09,-0.24003511326274884,0.325,0.275,0.2,0.825,28.875
120843,0.2958277033726251,1.3067439695428407,0.2852317631659693,-2.7301809801199457e-09,-0.1297396816518679,0.85,0.975,0.925,0.325,71.625
120844,0.06695971624586994,-0.08874729621557331,0.06463676233761434,-1.995665296805253e-11,-0.0011629327956168556,0.275,0.175,0.25,0.05,18.125
125497,0.18434488610520172,0.7757902498211207,0.16076989996293134,3.897569275775009e-09,-0.15200013055606398,0.55,0.575,0.55,0.45,46.375
125498,0.11245222866621418,0.30061192104254775,0.1022661146229716,3.870275076912866e-09,-0.21117279560132118,0.375,0.35,0.325,0.725,33.75
148567,0.3400091602163293,1.4482911703262595,0.2739279776566436,-7.267301807809925e-10,-0.11265729075028275,0.975,1.0,0.9,0.2,74.25
148568,0.14748035533586012,0.9262873467360148,0.23102146742665858,-4.994334059416237e-09,-0.1527259422823477,0.425,0.65,0.775,0.475,49.25
148569,0.2917890157839378,1.2349300257743296,0.27102971488296435,2.644224748770506e-09,-0.1639674294693263,0.825,0.95,0.875,0.525,71.25
149322,0.18044206486636138,0.4640374492204776,0.11680510253550355,3.199854111073521e-09,-0.14844576917771746,0.5,0.4,0.35,0.4,36.0
149323,0.268699908289022,1.1321218524747245,0.2869993972610488,-4.559389760489183e-09,-0.17248105753451382,0.75,0.875,0.95,0.55,68.875
149324,0.27000426614519246,0.9497958246616031,0.2652992756883274,7.702719240778447e-09,-0.31171900300634214,0.775,0.7,0.85,0.925,67.0
